"Ivica Zubac",1034956
"Paul Zipser",750000
"Stephen Zimmerman",950000
"Tyler Zeller",8e+06
"Cody Zeller",5318313
"Nick Young",5443918
"James Young",1825200
"Thaddeus Young",14153652
"Joe Young",1052342
"Brandan Wright",5700000
